property_ID,locality_name,postal_code,price,type_of_property,subtype_of_property,type_of_sale,nr_or_rooms,living_area,equiped_kitchen,furnished,open_fire,terrace,garden,nr_of_facades,swimming_pool,state_of_building
9616311,Ninove,9400.0,,house,huis,Vaste prijs,4.0,230.0,1.0,0.0,,,,4.0,0.0,Goed
9616532,Bruxelles,1050.0,645000.0,house,appartement,Vaste prijs,3.0,113.0,1.0,0.0,,4.0,,2.0,,
9616664,Aalst,9300.0,,house,huis,Vaste prijs,3.0,153.0,,0.0,,,,3.0,0.0,Goed
9616680,Geraardsbergen,9500.0,,house,huis,Vaste prijs,3.0,179.0,1.0,0.0,,,,2.0,,Goed
9616851,Mons,7000.0,,house,appartement,Vaste prijs,3.0,102.0,1.0,0.0,,,,3.0,,Uitstekende staat
9616938,Bruxelles,1050.0,2480000.0,house,huis,Vaste prijs,5.0,245.0,1.0,0.0,,,1000.0,4.0,1.0,
9617061,Bouge,5004.0,,house,huis,Vaste prijs,5.0,220.0,1.0,,,,,4.0,,Te renoveren
9617079,Bruxelles,1050.0,1780000.0,house,appartement,Vaste prijs,6.0,250.0,1.0,0.0,,,,2.0,,
9617133,Corbais,1435.0,,house,huis,Vaste prijs,4.0,225.0,1.0,,1.0,20.0,1230.0,3.0,,Goed
9617348,Knokke,8300.0,,house,appartement,Vaste prijs,2.0,100.0,1.0,0.0,,,,2.0,0.0,
9617377,Koekelare,8680.0,,house,huis,Vaste prijs,,,,0.0,,,,2.0,,
9617544,Brugge,8000.0,,house,huis,Vaste prijs,3.0,195.0,,,,,,,,
9617672,Zwevezele,8750.0,,house,huis,Vaste prijs,6.0,140.0,,0.0,,,,2.0,0.0,Te renoveren
9617785,Latem,9830.0,,house,appartement,Vaste prijs,1.0,,,0.0,,,,,,Uitstekende staat
9618555,Bouge,5004.0,,house,huis,Vaste prijs,4.0,136.0,0.0,,,,,4.0,,Uitstekende staat
9618775,Ninove,9400.0,,house,huis,Vaste prijs,3.0,212.0,1.0,1.0,,,,2.0,0.0,Goed
9618941,Ans,4430.0,,house,appartement,Vaste prijs,1.0,80.0,1.0,1.0,,15.0,,,0.0,Goed
9619133,sambre,6031.0,,house,huis,Vaste prijs,3.0,,0.0,,,,,2.0,,Goed
9619271,Opprebais,1315.0,,house,huis,Vaste prijs,4.0,143.0,0.0,,1.0,40.0,,4.0,,Uitstekende staat
